City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,kalmunai,7.4167,81.8167,29.15,78,25,6.14,LK,2024-10-01 03:00:00
124,illizi,26.4833,8.4667,27.94,28,0,4.42,DZ,2024-10-01 03:00:00
125,thunder bay,48.4001,-89.3168,16.71,66,38,7.13,CA,2024-10-01 03:00:00
126,saldanha,-33.0117,17.9442,10.59,62,4,2.64,ZA,2024-10-01 03:00:00
127,trairi,-3.2778,-39.2689,25.18,80,27,6.71,BR,2024-10-01 03:00:00
128,dakoro,14.5106,6.765,30.67,31,25,3.56,NE,2024-10-01 03:00:00
129,shanhecun,44.7,127.2,11.16,66,86,2.43,CN,2024-10-01 03:00:00
130,hassi messaoud,31.6804,6.0729,26.54,41,1,3.24,DZ,2024-10-01 03:00:00
131,gumdag,39.2061,54.5906,16.14,19,0,4.98,TM,2024-10-01 03:00:00
132,quatre cocos,-20.2078,57.7625,22.67,77,31,6.8,MU,2024-10-01 03:00:00
133,moussoro,13.6408,16.4901,30.83,36,44,3.9,TD,2024-10-01 03:00:00
134,utrik,11.2278,169.8474,27.98,77,98,5.77,MH,2024-10-01 03:00:00
135,praia da vitoria,38.7333,-27.0667,23.07,87,64,6.25,PT,2024-10-01 03:00:00
136,west island,-12.1568,96.8225,25.92,91,61,9.91,CC,2024-10-01 03:00:00
137,orchard homes,46.8633,-114.0484,13.28,31,8,0.69,US,2024-10-01 03:00:00
138,east london,-33.0153,27.9116,12.61,55,19,10.18,ZA,2024-10-01 03:00:00
139,kolomna,55.0794,38.7783,8.89,78,68,5.56,RU,2024-10-01 03:00:00
140,tamanrasset,22.785,5.5228,23.77,25,27,10.23,DZ,2024-10-01 03:00:00
141,bredasdorp,-34.5322,20.0403,9.54,71,55,2.49,ZA,2024-10-01 03:00:00
142,monterey,36.2505,-121.2516,31.53,13,0,3.0,US,2024-10-01 03:00:00
143,isafjordur,66.0755,-23.124,3.21,89,100,6.55,IS,2024-10-01 03:00:00
144,ilulissat,69.2167,-51.1,3.25,94,100,1.92,GL,2024-10-01 03:00:00
145,wuxue,29.8506,115.5525,17.95,84,100,2.4,CN,2024-10-01 03:00:00
146,sola,-13.8833,167.55,26.75,72,68,0.53,VU,2024-10-01 03:00:00
147,eyl,7.9803,49.8164,24.69,87,26,2.42,SO,2024-10-01 03:00:00
148,laguna,38.421,-121.4238,30.75,20,0,1.42,US,2024-10-01 03:00:00
149,bayanaul,50.7889,75.6956,14.4,41,10,0.62,KZ,2024-10-01 03:00:00
150,aldinga beach,-35.2793,138.4604,15.32,75,20,2.62,AU,2024-10-01 03:00:00
151,marka,1.7159,44.7717,25.13,82,80,3.73,SO,2024-10-01 03:00:00
152,shimoda,34.6667,138.95,23.62,90,100,7.55,JP,2024-10-01 03:00:00
153,san patricio,28.017,-97.5169,27.74,50,0,4.06,US,2024-10-01 03:00:00
154,qingdao,36.0986,120.3719,19.38,58,54,7.48,CN,2024-10-01 03:00:00
155,nazyvayevsk,55.5698,71.3529,10.54,64,76,3.04,RU,2024-10-01 03:00:00
156,nar'yan-mar,67.6713,53.087,4.46,71,75,12.56,RU,2024-10-01 03:00:00
157,stanley,54.868,-1.6985,10.39,96,83,5.76,GB,2024-10-01 03:00:00
158,khandyga,62.6667,135.6,1.34,95,100,2.74,RU,2024-10-01 03:00:00
159,talnakh,69.4865,88.3972,2.46,100,100,3.1,RU,2024-10-01 03:00:00
160,kerikeri,-35.2268,173.9474,16.12,68,100,4.41,NZ,2024-10-01 03:00:00
161,plettenberg bay,-34.0527,23.3716,10.37,80,77,5.11,ZA,2024-10-01 03:00:00
162,port saint john's,-31.6229,29.5448,13.44,54,14,8.06,ZA,2024-10-01 03:00:00
163,qaqortoq,60.7167,-46.0333,3.9,97,100,1.1,GL,2024-10-01 03:00:00
164,uige,-7.6087,15.0613,19.83,88,99,1.06,AO,2024-10-01 03:00:00
165,alice springs,-23.7,133.8833,24.14,25,72,6.41,AU,2024-10-01 03:00:00
166,ceyhan,37.0247,35.8175,19.65,92,3,0.9,TR,2024-10-01 03:00:00
167,arkalyk,50.2486,66.9114,12.94,42,27,4.2,KZ,2024-10-01 03:00:00
168,constantia,44.1833,28.65,10.72,92,100,14.41,RO,2024-10-01 03:00:00
169,longyearbyen,78.2186,15.6401,-1.23,98,83,1.44,SJ,2024-10-01 03:00:00
170,andergrove,-21.0833,149.1833,24.68,68,3,5.68,AU,2024-10-01 03:00:00
171,jamestown,42.097,-79.2353,18.8,89,100,2.1,US,2024-10-01 03:00:00
172,yellowknife,62.456,-114.3525,3.79,94,100,7.74,CA,2024-10-01 03:00:00
173,mil'kovo,55.6078,37.7956,8.5,71,78,6.43,RU,2024-10-01 03:00:00
174,peterhead,57.5058,-1.7981,11.66,83,22,6.35,GB,2024-10-01 03:00:00
175,bilibino,68.0546,166.4372,0.65,95,100,0.88,RU,2024-10-01 03:00:00
176,avarua,-21.2078,-159.775,24.05,68,81,8.95,CK,2024-10-01 03:00:00
177,santo antonio do ica,-3.1022,-67.9397,25.65,70,27,0.87,BR,2024-10-01 03:00:00
178,vakarai,55.6035,23.8213,5.84,65,97,4.29,LT,2024-10-01 03:00:00
179,minas de marcona,-15.2119,-75.1103,12.39,89,86,4.42,PE,2024-10-01 03:00:00
180,hinis,39.3606,41.7022,12.75,62,88,1.82,TR,2024-10-01 03:00:00
181,college,64.8569,-147.8028,10.65,46,13,2.36,US,2024-10-01 03:00:00
182,banda aceh,5.5577,95.3222,28.58,80,88,4.37,ID,2024-10-01 03:00:00
183,karasu,41.071,30.7854,14.97,84,92,6.92,TR,2024-10-01 03:00:00
184,kelibia,36.8476,11.0939,20.0,61,1,2.28,TN,2024-10-01 03:00:00
185,salym,60.0625,71.4789,9.54,76,77,3.76,RU,2024-10-01 03:00:00
186,kununurra,-15.7667,128.7333,37.72,21,0,6.61,AU,2024-10-01 03:00:00
187,bulancak,40.9372,38.2291,18.86,82,83,1.48,TR,2024-10-01 03:00:00
188,katsuura,35.1333,140.3,24.71,95,100,6.1,JP,2024-10-01 03:00:00
189,wanning,18.8003,110.3967,30.22,83,94,1.07,CN,2024-10-01 03:00:00
190,beya,53.0533,90.9139,9.03,81,100,5.48,RU,2024-10-01 03:00:00
191,concordia,-31.393,-58.0209,27.07,74,57,3.65,AR,2024-10-01 03:00:00
192,susuman,62.7833,148.1667,-0.73,53,65,0.97,RU,2024-10-01 03:00:00
193,weno,7.4515,151.8468,30.45,73,62,4.12,FM,2024-10-01 03:00:00
194,whitehorse,60.7161,-135.0538,5.68,55,97,1.55,CA,2024-10-01 03:00:00
195,tangalle,6.024,80.7911,28.29,82,65,2.57,LK,2024-10-01 03:00:00
196,xichang,27.8964,102.2634,20.59,73,68,1.07,CN,2024-10-01 03:00:00
197,lazaro cardenas,17.9583,-102.2,26.9,81,67,1.22,MX,2024-10-01 03:00:00
198,susanville,40.4163,-120.653,20.78,22,0,1.41,US,2024-10-01 03:00:00
199,acarau,-2.8856,-40.12,25.39,79,55,8.1,BR,2024-10-01 03:00:00
200,dyurtyuli,55.4911,54.8688,11.17,51,100,1.22,RU,2024-10-01 03:00:00
201,saipan,15.1355,145.701,30.56,72,43,4.26,MP,2024-10-01 03:00:00
202,tura,25.5198,90.2201,27.1,95,73,1.26,IN,2024-10-01 03:00:00
203,parambu,-6.2111,-40.6944,27.85,42,82,2.37,BR,2024-10-01 03:00:00
204,intendente alvear,-35.2338,-63.592,19.2,27,55,8.83,AR,2024-10-01 03:00:00
205,ifrane,33.3333,-5.25,17.77,54,30,3.2,MA,2024-10-01 03:00:00
206,puerto gaitan,4.3133,-72.0816,28.64,65,60,1.5,CO,2024-10-01 03:00:00
207,novyy urengoy,66.0833,76.6333,4.01,73,48,9.72,RU,2024-10-01 03:00:00
208,freetown,8.484,-13.2299,25.13,87,93,2.76,SL,2024-10-01 03:00:00
209,banamba,13.55,-7.45,26.17,74,49,3.2,ML,2024-10-01 03:00:00
210,ed damer,17.5928,33.9592,31.66,40,48,2.64,SD,2024-10-01 03:00:00
211,st. john's,47.5649,-52.7093,12.44,90,100,4.9,CA,2024-10-01 03:00:00
212,kamaishi,39.2667,141.8833,24.28,69,0,3.62,JP,2024-10-01 03:00:00
213,hailar,49.2,119.7,5.14,48,82,7.17,CN,2024-10-01 03:00:00
214,ironwood,46.4547,-90.171,20.12,50,17,6.4,US,2024-10-01 03:00:00
215,changchun,43.88,125.3228,12.05,60,38,3.74,CN,2024-10-01 03:00:00
216,uturoa,-16.7333,-151.4333,26.78,76,34,3.48,PF,2024-10-01 03:00:00
217,buka,40.8108,69.1986,17.16,51,24,0.63,UZ,2024-10-01 03:00:00
218,sisimiut,66.9395,-53.6735,3.96,88,89,2.48,GL,2024-10-01 03:00:00
219,antalaha,-14.9003,50.2788,20.26,89,34,2.63,MG,2024-10-01 03:00:00
220,dzilam gonzalez,21.2833,-88.9333,25.56,84,98,1.64,MX,2024-10-01 03:00:00
221,cox's bazar,21.4532,91.9798,28.69,87,85,1.62,BD,2024-10-01 03:00:00
222,kone,-21.0595,164.8658,28.59,48,0,5.69,NC,2024-10-01 03:00:00
223,kavaratti,10.5669,72.642,27.82,80,99,3.67,IN,2024-10-01 03:00:00
224,prince rupert,54.3161,-130.3201,7.71,86,100,6.61,CA,2024-10-01 03:00:00
225,posto fiscal rolim de moura,-13.0833,-62.2667,25.26,82,88,1.51,BR,2024-10-01 03:00:00
226,shingu,33.7333,135.9833,28.5,57,84,2.05,JP,2024-10-01 03:00:00
227,lere,10.387,8.5726,21.43,86,9,1.62,NG,2024-10-01 03:00:00
228,onguday,50.75,86.15,8.21,62,100,1.24,RU,2024-10-01 03:00:00
229,kailua-kona,19.6406,-155.9956,27.92,70,1,1.79,US,2024-10-01 03:00:00
230,lanxi,29.2195,119.477,23.86,84,61,3.52,CN,2024-10-01 03:00:00
231,la mira,18.035,-102.3266,25.99,85,69,1.41,MX,2024-10-01 03:00:00
232,juva,56.4368,57.9478,9.03,67,71,1.44,RU,2024-10-01 03:00:00
233,atafu village,-8.5421,-172.5159,28.37,73,38,3.83,TK,2024-10-01 03:00:00
234,angaur state,6.906,134.13,28.96,75,100,4.79,PW,2024-10-01 03:00:00
235,thief river falls,48.1191,-96.1812,12.72,41,4,7.99,US,2024-10-01 03:00:00
236,lospalos,-8.5186,127.0025,29.92,55,89,5.07,TL,2024-10-01 03:00:00
237,rota,36.6224,-6.3586,20.84,82,2,2.69,ES,2024-10-01 03:00:00
238,yujing,23.1249,120.4614,27.81,75,100,0.57,TW,2024-10-01 03:00:00
239,gadzhiyevo,69.2551,33.3362,2.3,79,36,7.39,RU,2024-10-01 03:00:00
240,ashland,40.8167,-82.2665,18.32,96,95,2.34,US,2024-10-01 03:00:00
241,whistler,50.1164,-122.9695,9.43,64,93,1.85,CA,2024-10-01 03:00:00
242,kabala,9.5833,-11.55,21.05,98,93,0.69,SL,2024-10-01 03:00:00
243,la'ie,21.6477,-157.9253,27.78,74,18,6.18,US,2024-10-01 03:00:00
244,aswan,24.0934,32.907,26.06,31,0,3.98,EG,2024-10-01 03:00:00
245,amiens,49.9,2.3,12.73,85,91,6.21,FR,2024-10-01 03:00:00
246,santiago de cao,-7.9589,-79.2392,17.0,89,79,4.76,PE,2024-10-01 03:00:00
247,klyuchi,52.2667,79.1667,15.47,47,13,3.01,RU,2024-10-01 03:00:00
248,egilsstadir,65.2653,-14.3948,1.75,85,97,3.47,IS,2024-10-01 03:00:00
249,kargopol',61.5071,38.9456,1.34,89,1,1.25,RU,2024-10-01 03:00:00
250,sirte,31.2089,16.5887,23.57,58,1,2.76,LY,2024-10-01 03:00:00
251,neftekamsk,56.092,54.2703,9.82,55,80,2.43,RU,2024-10-01 03:00:00
252,swakopmund,-22.6833,14.5333,11.63,80,0,2.98,NA,2024-10-01 03:00:00
253,bandar abbas,27.1865,56.2808,29.06,76,2,1.86,IR,2024-10-01 03:00:00
254,hamilton,39.1834,-84.5333,20.26,93,73,1.4,US,2024-10-01 03:00:00
255,carbonear,47.7332,-53.2148,12.58,89,100,4.33,CA,2024-10-01 03:00:00
256,afaahiti,-17.75,-149.2833,25.97,75,34,1.92,PF,2024-10-01 03:00:00
257,kyzyl-suu,42.3414,78.0056,13.69,44,84,1.18,KG,2024-10-01 03:00:00
258,lompoc,34.6391,-120.4579,18.75,79,27,2.14,US,2024-10-01 03:00:00
259,brookings,44.3114,-96.7984,15.81,35,11,4.1,US,2024-10-01 03:00:00
260,lebu,-37.6167,-73.65,9.19,88,85,3.58,CL,2024-10-01 03:00:00
261,tolanaro,-25.0319,46.9987,22.79,77,87,1.13,MG,2024-10-01 03:00:00
262,thinadhoo,0.5333,72.9333,27.93,75,84,3.23,MV,2024-10-01 03:00:00
263,panaba,21.2833,-88.2667,24.54,93,99,3.03,MX,2024-10-01 03:00:00
264,el granada,37.5027,-122.4694,20.27,60,0,3.99,US,2024-10-01 03:00:00
265,colonia,50.9333,6.95,14.27,83,48,4.17,DE,2024-10-01 03:00:00
266,songyuan,45.1171,124.8568,12.91,47,44,4.58,CN,2024-10-01 03:00:00
267,happy valley-goose bay,53.3168,-60.3315,6.74,76,14,1.22,CA,2024-10-01 03:00:00
268,uzhur,55.3036,89.8339,11.48,68,100,6.03,RU,2024-10-01 03:00:00
269,necochea,-38.5473,-58.7368,10.68,78,84,6.09,AR,2024-10-01 03:00:00
